Round,Pick,Player,Pos
1,11,CeeDee Lamb (Dal - WR),WR
2,14,Christian McCaffrey (SF - RB),RB
3,35,Bo Nix (Den - QB),QB
4,38,Jaxon Smith-Njigba (Sea - WR),WR
5,59,DK Metcalf (Pit - WR),WR
6,62,RJ Harvey (Den - RB),RB
7,83,Travis Kelce (KC - TE),TE
8,86,Kaleb Johnson (Pit - RB),RB
9,107,Evan Engram (Den - TE),TE
10,110,Tua Tagovailoa (Mia - QB),QB
11,131,Brian Robinson Jr. (SF - RB),RB
12,134,Bryce Young (Car - QB),QB
13,155,Jake Bates (Det - K),UNK
14,158,Houston (Hou - DEF),UNK
15,179,Dylan Sampson (Cle - RB),RB
16,182,Russell Wilson (NYG - QB),QB
